;2P;2PA;2P_p;3P;3PA;3P_p;AST;BLK;DRB;FG;FGA;FG_p;FT;FTA;FT_p;G;GS;MP;ORB;PF;PTS;STL;TOV;TRB;eFG_p
Isaiah Thomas;3.9;8.1;.480;1.7;4.7;.362;5.0;0.1;2.0;5.6;12.8;.437;4.2;4.9;.863;365;233;29.2;0.6;2.2;17.1;1.0;2.2;2.6;.503
Jamaal Magloire;2.6;5.4;.481;0.0;0.0;.000;0.6;0.9;4.4;2.6;5.4;.480;2.0;3.2;.639;680;314;21.5;2.1;2.6;7.2;0.3;1.5;6.5;.480
Jamal Mashburn;5.7;13.1;.439;1.3;3.6;.345;4.0;0.2;4.2;7.0;16.7;.418;3.8;5.0;.766;611;584;37.3;1.1;2.5;19.1;1.0;2.6;5.4;.456
Jameer Nelson;3.2;6.8;.474;1.3;3.6;.368;5.2;0.1;2.5;4.6;10.4;.437;1.5;1.9;.814;753;600;28.5;0.5;2.5;12.0;0.9;2.2;3.1;.501
James Harden;4.1;8.4;.494;2.1;5.7;.368;4.9;0.4;3.8;6.2;14.1;.443;6.5;7.6;.855;534;321;33.2;0.7;2.5;21.1;1.5;3.0;4.6;.517
Jason Kidd;3.0;7.1;.429;1.4;4.1;.349;8.7;0.3;5.0;4.5;11.2;.400;2.2;2.8;.785;1391;1350;36.0;1.3;1.8;12.6;1.9;2.9;6.3;.464
Jayson Williams;2.9;6.5;.442;0.0;0.1;.125;0.6;0.6;4.2;2.9;6.5;.440;1.6;2.6;.606;475;158;20.6;3.3;2.7;7.3;0.4;1.1;7.5;.440
Jeff Teague;3.6;7.5;.476;0.8;2.3;.355;5.2;0.3;1.8;4.4;9.8;.448;2.5;3.0;.838;518;383;26.1;0.3;1.8;12.1;1.2;2.2;2.2;.489
Jermaine O'Neal;5.1;10.8;.469;0.0;0.1;.147;1.4;1.8;5.2;5.1;10.9;.467;3.0;4.2;.715;1011;697;27.1;2.0;2.9;13.2;0.5;1.9;7.2;.467
Jerry Stackhouse;4.5;10.3;.441;1.0;3.3;.309;3.3;0.5;2.2;5.6;13.6;.409;4.8;5.8;.822;970;564;31.2;1.0;1.9;16.9;0.9;2.7;3.2;.446
Jimmy Butler;3.7;7.7;.480;0.8;2.3;.328;2.6;0.5;3.1;4.4;10.0;.445;3.9;4.8;.812;323;219;31.2;1.4;1.4;13.6;1.4;1.2;4.5;.483
Joakim Noah;3.5;7.2;.492;0.0;0.0;.000;3.0;1.4;6.1;3.5;7.2;.490;2.2;3.1;.711;572;465;29.5;3.3;2.9;9.3;0.8;1.8;9.4;.490
Joe Johnson;4.9;10.3;.472;1.6;4.3;.372;4.2;0.2;3.2;6.5;14.6;.442;2.3;2.9;.801;1143;1073;36.0;0.9;1.8;16.9;0.9;2.0;4.1;.497
John Wall;5.8;12.8;.451;0.8;2.5;.319;9.0;0.6;3.9;6.6;15.3;.429;4.1;5.2;.789;422;410;36.0;0.6;2.3;18.0;1.7;3.8;4.5;.455
Josh Howard;4.8;10.1;.471;0.7;2.0;.332;1.6;0.5;4.0;5.4;12.2;.448;2.8;3.6;.770;507;403;30.3;1.7;2.6;14.3;1.0;1.4;5.7;.476
Jrue Holiday;4.5;9.8;.460;1.1;2.9;.368;6.1;0.4;2.7;5.6;12.7;.439;1.9;2.3;.801;437;370;32.2;0.8;2.3;14.1;1.4;2.7;3.5;.481
Juwan Howard;5.4;11.5;.470;0.0;0.0;.120;2.2;0.3;4.2;5.4;11.5;.469;2.5;3.3;.764;1208;900;30.3;1.9;2.9;13.4;0.7;2.0;6.1;.469
Kawhi Leonard;4.2;7.8;.540;1.1;2.9;.391;2.0;0.7;5.0;5.4;10.8;.499;2.4;2.9;.828;324;297;29.9;1.3;1.8;14.3;1.8;1.2;6.3;.552
