player;nba_draft;listed_height;listed_weight;nationality;college;high_school;playing_career;position;draft_year;draft_round;draft_pick
Shareef Abdur-Rahim;1996 / Round: 1 / Pick: 3rd overall;6 ft 9 in (2.06 m);225 lb (102 kg);American;California (1995–1996);Joseph Wheeler (Marietta, Georgia);1996–2008;Power forward / Small forward;1996 ; Round: 1 ; Pick: 3rd overall
Shawn Kemp;1989 / Round: 1 / Pick: 17th overall;6 ft 10 in (2.08 m);230 lb (104 kg);American;Trinity Valley CC;Concord (Elkhart, Indiana);1989–2003;Power forward;1989 ; Round: 1 ; Pick: 17th overall
Shawn Marion;1999 / Round: 1 / Pick: 9th overall;6 ft 7 in (2.01 m);228 lb (103 kg);American;Vincennes (1996–1998) UNLV (1998–1999);Clarksville (Clarksville, Tennessee);1999–2015;Small forward / Power forward;1999 ; Round: 1 ; Pick: 9th overall
Sidney Moncrief;1979 / Round: 1 / Pick: 5th overall;6 ft 4 in (1.93 m);190 lb (86 kg);American;Arkansas (1975–1979);Hall (Little Rock, Arkansas);1979–1991;Guard;1979 ; Round: 1 ; Pick: 5th overall
Sidney Wicks;1971 / Round: 1 / Pick: 2nd overall;6 ft 8 in (2.03 m);225 lb (102 kg);American;Santa Monica (1967–1968) UCLA (1968–1971);Alexander Hamilton (Los Angeles, California);1971–1982;Power forward / Center;1971 ; Round: 1 ; Pick: 2nd overall
Slater Martin;;5 ft 10 in (1.78 m);170 lb (77 kg);American;Texas (1943–1944, 1946–1949);Jefferson Davis (Houston, Texas);1949–1960;Point guard;;;
Sleepy Floyd;1982 / Round: 1 / Pick: 13th overall;6 ft 3 in (1.91 m);172 lb (78 kg);American;Georgetown (1978–1982);Hunter Huss (Gastonia, North Carolina);1982–1995;Point guard;1982 ; Round: 1 ; Pick: 13th overall
Spencer Haywood;1971 / Round: 2 / Pick: 30th overall;6 ft 8 in (2.03 m);225 lb (102 kg);American;Trinidad State JC (1967–1968) Detroit (1968–1969);Pershing (Detroit, Michigan);1969–1983;Power forward / Center;1971 ; Round: 2 ; Pick: 30th overall
Stephen Curry;2009 / Round: 1 / Pick: 7th overall;6 ft 3 in (1.91 m);190 lb (86 kg);American;Davidson (2006–2009);Charlotte Christian (Charlotte, North Carolina);2009–present;Point guard;2009 ; Round: 1 ; Pick: 7th overall
Stephon Marbury;1996 / Round: 1 / Pick: 4th overall;6 ft 2 in (1.88 m);205 lb (93 kg);American;Georgia Tech (1995–1996);Abraham Lincoln (Brooklyn, New York);1996–present;Point guard;1996 ; Round: 1 ; Pick: 4th overall
Steve Francis;1999 / Round: 1 / Pick: 2nd overall;6 ft 3 in (1.91 m);210 lb (95 kg);American;San Jacinto (1996–1997) Allegany College (1997–1998) Maryland (1998–1999);Montgomery Blair (Silver Spring, Maryland);1999–2010;Point guard;1999 ; Round: 1 ; Pick: 2nd overall
Steve Johnson;1981 / Round: 1 / Pick: 7th overall;6 ft 10 in (2.08 m);235 lb (107 kg);American;Oregon State (1976–1981);San Gorgonio (San Bernardino, California);1981–1991;Power forward / Center;1981 ; Round: 1 ; Pick: 7th overall
Steve Mix;1969 / Round: 5 / Pick: 61st overall;6 ft 7 in (2.01 m);215 lb (98 kg);American;Toledo (1966–1969);Rogers (Toledo, Ohio);1969–1983;Power forward;1969 ; Round: 5 ; Pick: 61st overall
